2017:05:30:15:56:55.144,0.26,-0.194,-0.872
2017:05:30:15:56:55.202,0.302,-0.174,-1.146
2017:05:30:15:56:55.261,0.206,-0.178,-0.918
2017:05:30:15:56:55.319,0.182,-0.178,-0.888
2017:05:30:15:56:55.377,0.075,-0.106,-0.871
2017:05:30:15:56:55.436,0.171,-0.182,-0.935
2017:05:30:15:56:55.494,0.194,-0.14,-0.951
2017:05:30:15:56:55.552,0.282,-0.18,-1.021
2017:05:30:15:56:55.611,0.063,-0.166,-0.881
2017:05:30:15:56:55.669,0.129,-0.191,-1.111
2017:05:30:15:56:55.728,0.037,-0.129,-0.945
2017:05:30:15:56:55.786,0.175,-0.157,-0.903
2017:05:30:15:56:55.844,0.273,-0.18,-0.987
2017:05:30:15:56:55.903,0.289,-0.194,-1.107
2017:05:30:15:56:55.961,0.427,-0.216,-0.993
2017:05:30:15:56:56.019,0.203,-0.146,-0.999
2017:05:30:15:56:56.078,0.316,-0.187,-0.997
2017:05:30:15:56:56.136,0.218,-0.204,-0.893
2017:05:30:15:56:56.196,0.386,-0.22,-1.087
2017:05:30:15:56:56.253,0.357,-0.182,-1.023
2017:05:30:15:56:56.314,0.251,-0.199,-0.975
2017:05:30:15:56:56.371,0.206,-0.12,-0.889
2017:05:30:15:56:56.429,0.111,-0.197,-0.931
2017:05:30:15:56:56.488,0.122,-0.155,-0.858
2017:05:30:15:56:56.546,0.078,-0.259,-0.927
2017:05:30:15:56:56.604,0.096,-0.204,-0.965
2017:05:30:15:56:56.662,0.028,-0.188,-1.082
2017:05:30:15:56:56.720,0.03,-0.096,-0.953
2017:05:30:15:56:56.779,0.21,-0.13,-0.92
2017:05:30:15:56:56.837,0.172,-0.174,-0.841
2017:05:30:15:56:56.896,0.184,-0.226,-1.111
2017:05:30:15:56:56.955,0.352,-0.177,-1.083
2017:05:30:15:56:57.013,0.162,-0.179,-0.989
2017:05:30:15:56:57.071,0.301,-0.238,-0.994
2017:05:30:15:56:57.130,0.179,-0.206,-0.858
2017:05:30:15:56:57.187,0.123,-0.167,-0.909
2017:05:30:15:56:57.246,0.166,-0.155,-0.975
2017:05:30:15:56:57.304,0.39,-0.173,-0.945
2017:05:30:15:56:57.363,0.213,-0.142,-0.895
2017:05:30:15:56:57.420,0.155,-0.178,-1.048
2017:05:30:15:56:57.479,0.106,-0.197,-0.853
2017:05:30:15:56:57.537,0.013,-0.218,-0.938
2017:05:30:15:56:57.597,0.093,-0.195,-0.97
2017:05:30:15:56:57.656,0.294,-0.165,-1.095
2017:05:30:15:56:57.713,0.223,-0.154,-1.039
2017:05:30:15:56:57.771,0.117,-0.182,-0.958
2017:05:30:15:56:57.830,0.182,-0.179,-0.998
2017:05:30:15:56:57.858,0.219,-0.22,-1.029
2017:05:30:15:56:57.917,0.357,-0.192,-0.877
2017:05:30:15:56:57.976,0.071,-0.217,-0.877
2017:05:30:15:56:58.034,0.084,-0.161,-0.915
2017:05:30:15:56:58.092,0.129,-0.133,-0.918
2017:05:30:15:56:58.151,0.29,-0.122,-1.056
2017:05:30:15:56:58.213,0.24,-0.171,-0.991
2017:05:30:15:56:58.268,0.179,-0.216,-1.057
2017:05:30:15:56:58.326,0.114,-0.163,-1.088
2017:05:30:15:56:58.388,0.093,-0.187,-0.993
2017:05:30:15:56:58.443,0.057,-0.181,-0.906
2017:05:30:15:56:58.502,0.158,-0.222,-1.077
2017:05:30:15:56:58.560,0.071,-0.19,-1.119
2017:05:30:15:56:58.618,0.196,-0.219,-0.818
2017:05:30:15:56:58.677,0.154,-0.187,-0.824
2017:05:30:15:56:58.735,0.229,-0.145,-0.898
2017:05:30:15:56:58.794,0.108,-0.128,-0.917
2017:05:30:15:56:58.852,0.121,-0.241,-1.071
2017:05:30:15:56:58.909,0.281,-0.163,-0.964
2017:05:30:15:56:58.968,0.128,-0.144,-0.916
