X-Axis,Y-Axis,Z-Axis
-0.635,0,-0.875
-0.458,-0.005,-0.786
-0.632,-0.001,-0.873
-0.469,-0.008,-0.795
-0.622,-0.003,-0.865
-0.469,-0.007,-0.791
-0.631,-0.003,-0.868
-0.463,-0.008,-0.799
-0.632,0,-0.866
-0.46,-0.009,-0.796
-0.625,-0.002,-0.869
-0.491,-0.013,-0.825
-0.619,-0.001,-0.856
-0.458,-0.01,-0.796
-0.64,-0.002,-0.872
-0.481,-0.016,-0.825
-0.628,-0.002,-0.86
-0.452,-0.013,-0.794
-0.647,0.003,-0.877
-0.452,-0.012,-0.802
-0.641,0.002,-0.879
-0.469,-0.008,-0.799
-0.629,-0.002,-0.875
-0.465,-0.014,-0.8
-0.627,0.002,-0.863
-0.464,-0.008,-0.78
-0.635,0.002,-0.874
-0.472,-0.007,-0.792
-0.62,0.001,-0.872
-0.506,-0.003,-0.795
-0.595,-0.008,-0.872
-0.523,0.003,-0.805
-0.558,-0.005,-0.841
-0.561,0.003,-0.83
-0.517,-0.012,-0.84
-0.605,0.001,-0.86
-0.461,-0.008,-0.815
-0.608,0.002,-0.868
-0.486,-0.008,-0.796
-0.63,0.002,-0.876
-0.481,-0.003,-0.779
-0.594,-0.002,-0.859
-0.519,-0.002,-0.815
-0.571,-0.008,-0.851
-0.534,-0.001,-0.823
-0.535,-0.007,-0.841
-0.582,0.002,-0.845
-0.512,-0.013,-0.834
-0.602,0.001,-0.85
-0.497,-0.016,-0.822
-0.599,0.004,-0.853
-0.5,-0.012,-0.821
-0.59,0.003,-0.844
-0.484,-0.013,-0.823
-0.623,0.002,-0.865
-0.483,-0.013,-0.821
-0.618,0,-0.866
-0.486,-0.014,-0.823
-0.606,0,-0.858
-0.494,-0.01,-0.826
-0.61,0,-0.856
-0.49,-0.015,-0.831
-0.609,0,-0.855
-0.484,-0.017,-0.811
-0.604,0,-0.855
-0.503,-0.014,-0.835
-0.607,0,-0.856
-0.484,-0.011,-0.823
-0.615,0.002,-0.86
-0.49,-0.013,-0.826
-0.596,0.001,-0.852
-0.489,-0.011,-0.818
-0.605,-0.002,-0.857
